Table,Author,Title,Publication Title,Publication Year,DOI,Issue,Volume
literature,"Bixby, Dale; Talpaz, Moshe",Mechanisms of resistance to tyrosine kinase inhibitors in chronic myeloid leukemia and recent therapeutic strategies to overcome resistance,Hematology. American Society of Hematology. Education Program,2009,10.1182/asheducation-2009.1.461,1,2009
literature,"Weisberg, Ellen; Manley, Paul W.; Cowan-Jacob, Sandra W.; Hochhaus, Andreas; Griffin, James D.",Second generation inhibitors of BCR-ABL for the treatment of imatinib-resistant chronic myeloid leukaemia,Nature Reviews. Cancer,2007,10.1038/nrc2126,5,7
literature,"Shah, Neil P.; Nicoll, John M.; Nagar, Bhushan; Gorre, Mercedes E.; Paquette, Ronald L.; Kuriyan, John; Sawyers, Charles L.",Multiple BCR-ABL kinase domain mutations confer polyclonal resistance to the tyrosine kinase inhibitor imatinib (STI571) in chronic phase and blast crisis chronic myeloid leukemia,Cancer Cell,2002,10.1016/S1535-6108(02)00096-X,2,2
literature,"Cowan-Jacob, Sandra W.; Guez, Valerie; Fendrich, Gabriele; Griffin, James D.; Fabbro, Doriano; Furet, Pascal; Liebetanz, Janis; Mestan, Jürgen; Manley, Paul W.",Imatinib (STI571) resistance in chronic myelogenous leukemia: molecular basis of the underlying mechanisms and potential strategies for treatment,Mini Reviews in Medicinal Chemistry,2004,10.2174/1389557043487321,3,4
literature,"Quintás-Cardama, Alfonso; Kantarjian, Hagop; Cortes, Jorge",Imatinib and beyond--exploring the full potential of targeted therapy for CML,Nature Reviews. Clinical Oncology,2009,10.1038/nrclinonc.2009.112,9,6
literature,"Rokosz, Laura L.; Beasley, James R.; Carroll, Carolyn Diianni; Lin, Tsung; Zhao, Jiuqiao; Appell, Kenneth C.; Webb, Maria L.",Kinase inhibitors as drugs for chronic inflammatory and immunological diseases: progress and challenges,Expert Opinion on Therapeutic Targets,2008,10.1517/14728222.12.7.883,7,12
literature,"Zhang, Jianming; Yang, Priscilla L.; Gray, Nathanael S.",Targeting cancer with small molecule kinase inhibitors,Nature Reviews. Cancer,2009,10.1038/nrc2559,1,9
literature,"Ghoreschi, Kamran; Laurence, Arian; O'Shea, John J.",Selectivity and therapeutic inhibition of kinases: to be or not to be?,Nature Immunology,2009,10.1038/ni.1701,4,10
literature,"Shah, Neil P.; Tran, Chris; Lee, Francis Y.; Chen, Ping; Norris, Derek; Sawyers, Charles L.",Overriding imatinib resistance with a novel ABL kinase inhibitor,"Science (New York, N.Y.)",2004,10.1126/science.1099480,5682,305
literature,"Burgess, Michael R.; Skaggs, Brian J.; Shah, Neil P.; Lee, Francis Y.; Sawyers, Charles L.",Comparative analysis of two clinically active BCR-ABL kinase inhibitors reveals the role of conformation-specific binding in resistance,Proceedings of the National Academy of Sciences of the United States of America,2005,10.1073/pnas.0409770102,9,102
literature,"Karaman, Mazen W.; Herrgard, Sanna; Treiber, Daniel K.; Gallant, Paul; Atteridge, Corey E.; Campbell, Brian T.; Chan, Katrina W.; Ciceri, Pietro; Davis, Mindy I.; Edeen, Philip T.; Faraoni, Raffaella; Floyd, Mark; Hunt, Jeremy P.; Lockhart, Daniel J.; Milanov, Zdravko V.; Morrison, Michael J.; Pallares, Gabriel; Patel, Hitesh K.; Pritchard, Stephanie; Wodicka, Lisa M.; Zarrinkar, Patrick P.",A quantitative analysis of kinase inhibitor selectivity,Nature Biotechnology,2008,10.1038/nbt1358,1,26
literature,"Ray, Arghya; Cowan-Jacob, Sandra W.; Manley, Paul W.; Mestan, Jürgen; Griffin, James D.",Identification of BCR-ABL point mutations conferring resistance to the Abl kinase inhibitor AMN107 (nilotinib) by a random mutagenesis study,Blood,2007,10.1182/blood-2006-01-015347,11,109
literature,"Weisberg, E.; Sattler, M.; Ray, A.; Griffin, J. D.",Drug resistance in mutant FLT3-positive AML,Oncogene,2010,10.1038/onc.2010.273,37,29
literature,"Redaelli, Sara; Piazza, Rocco; Rostagno, Roberta; Magistroni, Vera; Perini, Pietro; Marega, Manuela; Gambacorti-Passerini, Carlo; Boschelli, Frank","Activity of bosutinib, dasatinib, and nilotinib against 18 imatinib-resistant BCR/ABL mutants",Journal of Clinical Oncology: Official Journal of the American Society of Clinical Oncology,2009,10.1200/JCO.2008.19.8853,3,27
literature,"Roumiantsev, Sergei; Shah, Neil P.; Gorre, Mercedes E.; Nicoll, John; Brasher, Bradley B.; Sawyers, Charles L.; Van Etten, Richard A.",Clinical resistance to the kinase inhibitor STI-571 in chronic myeloid leukemia by mutation of Tyr-253 in the Abl kinase domain P-loop,Proceedings of the National Academy of Sciences of the United States of America,2002,10.1073/pnas.162140299,16,99
literature,"Azam, Mohammad; Latek, Robert R.; Daley, George Q.",Mechanisms of autoinhibition and STI-571/imatinib resistance revealed by mutagenesis of BCR-ABL,Cell,2003,10.1016/s0092-8674(03)00190-9,6,112
literature,"Ji, Mingfei; Zheng, Guodong; Li, Xiaolong; Zhang, Zhongqin; Jv, Guanqun; Wang, Xiaowei; Wang, Jialin",Computational dissection of allosteric inhibition of the SH2 domain of Bcr-Abl kinase by the monobody inhibitor AS25,Journal of Molecular Modeling,2017,10.1007/s00894-017-3353-5,6,23
literature,"Poláková, Kateřina Machová; Lopotová, Tereza; Klamová, Hana; Moravcová, Jana",High-resolution melt curve analysis: Initial screening for mutations in BCR-ABL kinase domain,Leukemia Research,2008,10.1016/j.leukres.2008.01.010,8,32
literature,"Levinson, Nicholas M.; Kuchment, Olga; Shen, Kui; Young, Matthew A.; Koldobskiy, Michael; Karplus, Martin; Cole, Philip A.; Kuriyan, John",A Src-like inactive conformation in the abl tyrosine kinase domain,PLoS biology,2006,10.1371/journal.pbio.0040144,5,4
literature,"Schindler, T.; Bornmann, W.; Pellicena, P.; Miller, W. T.; Clarkson, B.; Kuriyan, J.",Structural mechanism for STI-571 inhibition of abelson tyrosine kinase,"Science (New York, N.Y.)",2000,10.1126/science.289.5486.1938,5486,289
literature,"Skaggs, Brian J.; Gorre, Mercedes E.; Ryvkin, Ann; Burgess, Michael R.; Xie, Yongming; Han, Yun; Komisopoulou, Evangelia; Brown, Lauren M.; Loo, Joseph A.; Landaw, Elliot M.; Sawyers, Charles L.; Graeber, Thomas G.",Phosphorylation of the ATP-binding loop directs oncogenicity of drug-resistant BCR-ABL mutants,Proceedings of the National Academy of Sciences of the United States of America,2006,10.1073/pnas.0609239103,51,103
literature,"Griswold, Ian J.; MacPartlin, Mary; Bumm, Thomas; Goss, Valerie L.; O'Hare, Thomas; Lee, Kimberly A.; Corbin, Amie S.; Stoffregen, Eric P.; Smith, Caitlyn; Johnson, Kara; Moseson, Erika M.; Wood, Lisa J.; Polakiewicz, Roberto D.; Druker, Brian J.; Deininger, Michael W.","Kinase domain mutants of Bcr-Abl exhibit altered transformation potency, kinase activity, and substrate utilization, irrespective of sensitivity to imatinib",Molecular and Cellular Biology,2006,10.1128/MCB.02202-05,16,26
literature,"Lee, Tai-Sung; Potts, Steven J.; Kantarjian, Hagop; Cortes, Jorge; Giles, Francis; Albitar, Maher",Molecular basis explanation for imatinib resistance of BCR-ABL due to T315I and P-loop mutations from molecular dynamics simulations,Cancer,2008,10.1002/cncr.23355,8,112
literature,"Barouch-Bentov, Rina; Che, Jianwei; Lee, Christian C.; Yang, Yating; Herman, Ann; Jia, Yong; Velentza, Anastasia; Watson, James; Sternberg, Luise; Kim, Sunjun; Ziaee, Niusha; Miller, Andrew; Jackson, Carie; Fujimoto, Manabu; Young, Mike; Batalov, Serge; Liu, Yi; Warmuth, Markus; Wiltshire, Tim; Cooke, Michael P.; Sauer, Karsten",A conserved salt bridge in the G loop of multiple protein kinases is important for catalysis and for in vivo Lyn function,Molecular Cell,2009,10.1016/j.molcel.2008.12.024,1,33
literature,"Cowan-Jacob, Sandra W.; Fendrich, Gabriele; Floersheimer, Andreas; Furet, Pascal; Liebetanz, Janis; Rummel, Gabriele; Rheinberger, Paul; Centeleghe, Mario; Fabbro, Doriano; Manley, Paul W.",Structural biology contributions to the discovery of drugs to treat chronic myelogenous leukaemia,"Acta Crystallographica. Section D, Biological Crystallography",2007,10.1107/S0907444906047287,Pt 1,63
literature,"Kawaguchi, Hiroyuki; Taketani, Takeshi; Hongo, Teruaki; Park, Myoung-Ja; Koh, Katsuyoshi; Ida, Kohmei; Kobayashi, Miyuki; Takita, Junko; Taki, Tomohiko; Yoshino, Hiroshi; Bessho, Fumio; Hayashi, Yasuhide",In vitro drug resistance to imatinib and mutation of ABL gene in childhood Philadelphia chromosome-positive (Ph+) acute lymphoblastic leukemia,Leukemia & Lymphoma,2005,10.1080/10428190400011609,2,46
literature,"Akram, Afia Muhammad; Iqbal, Zafar; Akhtar, Tanveer; Khalid, Ahmed Mukhtar; Sabar, Muhammad Farooq; Qazi, Mahmood Hussain; Aziz, Zeba; Sajid, Nadia; Aleem, Aamer; Rasool, Mahmood; Asif, Muhammad; Aloraibi, Saleh; Aljamaan, Khaled; Iqbal, Mudassar",Presence of novel compound BCR-ABL mutations in late chronic and advanced phase imatinib sensitive CML patients indicates their possible role in CML progression,Cancer Biology & Therapy,2017,10.1080/15384047.2017.1294289,4,18
literature,"Meggyesi, Nóra; Kozma, András; Halm, Gabriella; Nahajevszky, Sarolta; Bátai, Arpád; Fekete, Sándor; Barta, Anikó; Ujj, György; Lueff, Sándor; Sipos, Andrea; Adám, Emma; Bors, András; Reményi, Péter; Masszi, Tamás; Tordai, Attila; Andrikovics, Hajnalka","Additional chromosome abnormalities, BCR-ABL tyrosine kinase domain mutations and clinical outcome in Hungarian tyrosine kinase inhibitor-resistant chronic myelogenous leukemia patients",Acta Haematologica,2012,10.1159/000331472,1,127
literature,"Wang, Dongmei; Pan, Hanzhang; Wang, Yungui",T315L: a novel mutation within BCR-ABL kinase domain confers resistance against ponatinib,Leukemia & Lymphoma,2017,10.1080/10428194.2016.1251591,7,58
literature,"Toman, O.; Kabickova, T.; Vit, O.; Fiser, R.; Polakova, K. Machova; Zach, J.; Linhartova, J.; Vyoral, D.; Petrak, J.",Proteomic analysis of imatinib-resistant CML-T1 cells reveals calcium homeostasis as a potential therapeutic target,Oncology Reports,2016,10.3892/or.2016.4945,3,36
literature,"Wang, Juan; Zhang, Yanli; Zu, Yingling; Li, Zhen; Li, Mengjuan; Song, Yongping",[Characteristics and clinical outcome of T315I mutation in Philadelphia chromosome-positive acute lymphoblastic leukemia and chronic myeloid leukemia],Zhonghua Xue Ye Xue Za Zhi = Zhonghua Xueyexue Zazhi,2016,10.3760/cma.j.issn.0253-2727.2016.02.005,2,37
literature,"Jiang, Qian; Qin, Yazhen; Lai, Yueyun; Jiang, Hao; Shi, Hongxia",[Dasatinib treatment based on BCR- ABL mutation detection in imatinib- resistant patients with chronic myeloid leukemia],Zhonghua Xue Ye Xue Za Zhi = Zhonghua Xueyexue Zazhi,2016,10.3760/cma.j.issn.0253-2727.2016.01.002,1,37
literature,"Parker, Wendy T.; Yeung, David T. O.; Yeoman, Alexandra L.; Altamura, Haley K.; Jamison, Bronte A.; Field, Chani R.; Hodgson, J. Graeme; Lustgarten, Stephanie; Rivera, Victor M.; Hughes, Timothy P.; Branford, Susan",The impact of multiple low-level BCR-ABL1 mutations on response to ponatinib,Blood,2016,10.1182/blood-2015-09-666214,15,127
literature,"Press, Richard D.; Willis, Stephanie G.; Laudadio, Jennifer; Mauro, Michael J.; Deininger, Michael W. N.",Determining the rise in BCR-ABL RNA that optimally predicts a kinase domain mutation in patients with chronic myeloid leukemia on imatinib,Blood,2009,10.1182/blood-2008-08-173674,13,114
literature,"Müller, Martin C.; Cortes, Jorge E.; Kim, Dong-Wook; Druker, Brian J.; Erben, Philipp; Pasquini, Ricardo; Branford, Susan; Hughes, Timothy P.; Radich, Jerald P.; Ploughman, Lynn; Mukhopadhyay, Jaydip; Hochhaus, Andreas",Dasatinib treatment of chronic-phase chronic myeloid leukemia: analysis of responses according to preexisting BCR-ABL mutations,Blood,2009,10.1182/blood-2009-04-214221,24,114
literature,"Park, Sang Hyuk; Chi, Hyun-Sook; Kwon, Mi-Ryang; Cho, Young-Uk; Jang, Seongsoo; Park, Chan-Jeoung",Rare Frameshift Mutation Cys475Tyrfs*11 in the BCR/ABL Kinase Domain Contributes to Imatinib Mesylate Resistance in 2 Korean Patients with Chronic Myelogenous Leukemia,Annals of Laboratory Medicine,2012,10.3343/alm.2012.32.6.452,6,32
literature,"Bagadi, Sarita; Saikia, Tapan; Pany, Ayaskant; Das, Bibhu",Analysis of ABL kinase domain mutations conferring resistance to tyrosine kinase inhibitors in chronic myeloid leukemia cases from India,Clinical Laboratory,2011,10.3892/etm.2015.2707,8-Jul,57
literature,"Jiang, Xiaoyan; Saw, Kyi Min; Eaves, Allen; Eaves, Connie",Instability of BCR–ABL Gene in Primary and Cultured Chronic Myeloid Leukemia Stem Cells,JNCI: Journal of the National Cancer Institute,2007,10.1093/jnci/djk150,9,99
literature,"Kuila, Nivedita; Dash, Nilima; Sahoo, Devi Prasad; Pattnayak, Naresh Chandra; Biswas, Ghanashyam; Chakraborty, Soumen","Presence of a new BCR-ABL kinase domain mutation, C330G in an imatinib naive patient with chronic myeloid leukemia: very low prevalence of BCR-ABL kinase domain mutations in patients with chronic myeloid leukemia from eastern India",Leukemia & Lymphoma,2009,10.1080/10428190802714032,4,50
literature,"Freedman, Jason L.; Desai, Ami V.; Bailey, L. Charles; Aplenc, Richard; Burnworth, Bettina; Zehentner, Barbara K.; Teachey, David T.; Wertheim, Gerald",Atypical Chronic Myeloid Leukemia in Two Pediatric Patients,Pediatric Blood & Cancer,2016,10.1002/pbc.25694,1,63
literature,"Hochhaus, Andreas; La Rosée, Paul; Müller, Martin C.; Ernst, Thomas; Cross, Nicholas C. P.",Impact of BCR-ABL mutations on patients with chronic myeloid leukemia,"Cell Cycle (Georgetown, Tex.)",2011,10.4161/cc.10.2.14537,2,10
literature,"Mir, A. R.; Sazawal Sazawal, S.; Saxena, A.; Saxena, R.","High-sensitivity detection of M351T, F317L, and F311C BCR-ABL kinase domain mutation in chronic myeloid leukemia patients treated with novel tyrosine kinase inhibitors (TKIs) imatinib and dasatinib",Journal of Clinical Oncology,2009,10.1200/jco.2009.27.15_suppl.7061,15_suppl,27
literature,"Kuang, Pu; Liu, Ting; Huang, Qi; Ye, Yuanxin; Xiang, Bing; Huang, Jie; Diwu, Lei; Wang, Yuchun; Meng, Wentong; Dong, Tian; Yang, Shengyong; Lu, Xiaojun",A novel I293MP mutation within BCR-ABL kinase domain in a Ph-positive acute lymphoblastic leukemia patient presenting resistant to imatinib but sensitive to nilotinib,Leukemia Research,2012,10.1016/j.leukres.2012.04.019,8,36
literature,"Noriega, María Fernanda; Ferri, Cristian Alberto; Icardi, Gustavo; Bullorsky, Eduardo; Korin, Jorge; Larripa, Irene",New mutation L324M in the ABL1 kinase domain: does it confer high resistance to second-generation inhibitors?,Leukemia & Lymphoma,2014,10.3109/10428194.2013.810735,3,55
literature,"Yang, Xiang-Chou; Qiu, Hong-Xia; Zhang, Su-Jiang; Wang, Ju-Juan; Ouyang, Yuan; Pan, Liang-Qin; Qiao, Chun; Li, Jian-Yong",[Treatment of two chronic myeloid leukemia patients with V299L mutation by using nilotinib],Zhongguo Shi Yan Xue Ye Xue Za Zhi,2014,10.7534/j.issn.1009-2137.2014.03.023,3,22
literature,"Azevedo, Ana P.; Reichert, Alice; Afonso, Celina; Alberca, Maria D.; Tavares, Purificação; Lima, Fernando","BCR-ABL V280G Mutation, Potential Role in Imatinib Resistance: First Case Report",Clinical Medicine Insights. Oncology,2017,10.1177/1179554917702870,,11
literature,"Sweet, Kendra; Al Ali, Najla H.; Dalia, Samir M.; Komrokji, Rami S.; Crescentini, Robert M.; Tinsley, Sara; Lancet, Jeffrey E.; Papenhausen, Peter R.; Zhang, Ling; Pinilla-Ibarz, Javier",Increased genomic instability may contribute to the development of kinase domain mutations in chronic myeloid leukemia,International Journal of Hematology,2014,10.1007/s12185-014-1685-9,6,100
literature,"Barouch-Bentov, Rina; Sauer, Karsten",Mechanisms of Drug-Resistance in Kinases,Expert opinion on investigational drugs,2011,10.1517/13543784.2011.546344,2,20
literature,"Zabriskie, Matthew S.; Eide, Christopher A.; Tantravahi, Srinivas K.; Vellore, Nadeem A.; Estrada, Johanna; Nicolini, Franck E.; Khoury, Hanna J.; Larson, Richard A.; Konopleva, Marina; Cortes, Jorge E.; Kantarjian, Hagop; Jabbour, Elias J.; Kornblau, Steven M.; Lipton, Jeffrey H.; Rea, Delphine; Stenke, Leif; Barbany, Gisela; Lange, Thoralf; Hernández-Boluda, Juan-Carlos; Ossenkoppele, Gert J.; Press, Richard D.; Chuah, Charles; Goldberg, Stuart L.; Wetzler, Meir; Mahon, Francois-Xavier; Etienne, Gabriel; Baccarani, Michele; Soverini, Simona; Rosti, Gianantonio; Rousselot, Philippe; Friedman, Ran; Deininger, Marie; Reynolds, Kimberly R.; Heaton, William L.; Eiring, Anna M.; Pomicter, Anthony D.; Khorashad, Jamshid S.; Kelley, Todd W.; Baron, Riccardo; Druker, Brian J.; Deininger, Michael W.; O’Hare, Thomas",BCR-ABL1 Compound Mutations Combining Key Kinase Domain Positions Confer Clinical Resistance to Ponatinib in Ph Chromosome-Positive Leukemia,Cancer Cell,2014,10.1016/j.ccr.2014.07.006,3,26
literature,"Khorashad, Jamshid S.; Kelley, Todd W.; Szankasi, Philippe; Mason, Clinton C.; Soverini, Simona; Adrian, Lauren T.; Eide, Christopher A.; Zabriskie, Matthew S.; Lange, Thoralf; Estrada, Johanna C.; Pomicter, Anthony D.; Eiring, Anna M.; Kraft, Ira L.; Anderson, David J.; Gu, Zhimin; Alikian, Mary; Reid, Alistair G.; Foroni, Letizia; Marin, David; Druker, Brian J.; O'Hare, Thomas; Deininger, Michael W.",BCR-ABL1 compound mutations in tyrosine kinase inhibitor–resistant CML: frequency and clonal relationships,Blood,2013,10.1182/blood-2012-05-431379,3,121
literature,"Shah, Neil P.; Skaggs, Brian J.; Branford, Susan; Hughes, Timothy P.; Nicoll, John M.; Paquette, Ronald L.; Sawyers, Charles L.",Sequential ABL kinase inhibitor therapy selects for compound drug-resistant BCR-ABL mutations with altered oncogenic potency,The Journal of Clinical Investigation,2007,10.1172/JCI30890,9,117